id,doi,PMID,DOID,DO label,internal factor name,factor type,sample type,cohort size,# of probes after quality control,array,abstract,keywords,summary of abstract,conclusion,journal,sjr
11,10.1152/japplphysiol.00878.2014,25539938,,,exercise,lifestyle,venous whole blood,12,n/a,450K,"Physical exercise has proven cardiovascular benefits, yet there is no clear understanding of the related molecular mechanisms leading to this. Here we determined the beneficial epigenetic effects of exercise after sprint interval training, a form of exercise known to improve cardiometabolic health. We quantified genome-wide leukocyte DNA methylation of 12 healthy young (18–24 yr) men before and after 4 wk (thrice weekly) of sprint interval training using the 450K BeadChip (Illumina) and validated gene expression changes in an extra seven subjects. Exercise increased subjects' cardiorespiratory fitness and maximal running performance, and decreased low-density lipoprotein cholesterol concentration in conjunction with genome-wide DNA methylation changes. Notably, many CpG island and gene promoter regions were demethylated after exercise, indicating increased genome-wide transcriptional changes. Among genes with DNA methylation changes, epidermal growth factor (EGF), a ligand of the epidermal growth factor receptor known to be involved in cardiovascular disease, was demethylated and showed decreased mRNA expression. Additionally, we found that in microRNAs miR-21 and miR-210, gene DNA methylation was altered by exercise causing a cascade effect on the expression of the mature microRNA involved in cardiovascular function. Our findings demonstrate that exercise alters DNA methylation in circulating blood cells in microRNA and protein-coding genes associated with cardiovascular physiology.

Exercise training can prevent and attenuate symptoms of cardiometabolic diseases such as insulin resistance, elevated blood pressure (BP), excess adiposity, and vascular impairment (18). The precise molecular mechanisms underpinning the health benefits gained from regular exercise training, however, are not known. DNA methylation affected by environmental factors modulates gene expression and may therefore mediate the health benefits gained from exercise training (19).

Recently, individuals involved in a 6-mo moderate-intensity exercise training program displayed genome-wide skeletal myocyte and adipocyte DNA methylation changes in genes associated with type 2 diabetes (49, 55). Additionally, older adult leukocyte DNA methylation increased in the proinflammatory PYCARD gene after 6 mo of aerobic exercise training to levels observed in their middle-aged peers (47). Although 6 mo of moderate-intensity aerobic exercise modulates the DNA methylome, it is unknown whether shorter training regimes affect DNA methylation. Moreover, although leukocytes are known to contribute to vascular disease (58), it is not known whether exercise is an environmental factor that regulates the leukocyte methylome and, in turn, contributes to improved vascular health.

Given that the effects of acute exercise on DNA methylation are intensity-dependent (5), we aimed to determine whether leukocyte DNA methylation changes occur after short-term (4 wk), yet intense exercise training. We used sprint interval training as a form of exercise training because it rapidly improves vascular functioning (53, 54), insulin sensitivity (3), cardiorespiratory function, and physical performance [reviewed in (25, 57)]. We aimed to 1) identify the effects of 4 wk of thrice weekly exercise on genome-wide leukocyte DNA methylation in healthy young men; 2) establish whether specific DNA methylation changes occurred reciprocally with altered gene expression; and 3) identify the acute effect of maximal exercise on genes and microRNAs (miRNAs) related to cardiovascular disease. We hypothesized that 4 wk of exercise training would cause significant changes in DNA methylation in genes and miRNAs related to pathways involved in cardiovascular health.",,Hypothesis: 4 wk of exercise training would cause significant changes in DNA methylation in genes and miRNAs related to pathways involved in cardiovascular health.,,Journal of Applied Physiology,0.964
12,10.1096/fj.12-215566,23475851,,,weight loss,intervention,venous whole blood,204,n/a,27K,"In recent years, epigenetic markers emerged as a new tool to understand the influence of lifestyle factors on obesity phenotypes. Adolescence is considered an important epigenetic window over a human's lifetime. The objective of this work was to explore baseline changes in DNA methylation that could be associated with a better weight loss response after a multidisciplinary intervention program in Spanish obese or overweight adolescents. Overweight or obese adolescents (n=107) undergoing 10 wk of a multidisciplinary intervention for weight loss were assigned as high or low responders to the treatment. A methylation microarray was performed to search for baseline epigenetic differences between the 2 groups (12 subjects/group), and MALDI-TOF mass spectrometry was used to validate (n=107) relevant CpG sites and surrounding regions. After validation, 5 regions located in or near AQP9, DUSP22, HIPK3, TNNT1, and TNNI3 genes showed differential methylation levels between high and low responders to the multidisciplinary weight loss intervention. Moreover, a calculated methylation score was significantly associated with changes in weight, BMI-SDS, and body fat mass loss after the treatment. In summary, we have identified 5 DNA regions that are differentially methylated depending on weight loss response. These methylation changes may help to better understand the weight loss response in obese adolescents.—Moleres, A., Campión, J., Milagro, F. I., Marcos, A., Campoy, C., Garagorri, J. M., Gómez-Martínez, S., Martínez, J. A., Azcona-Sanjulián, M. C., Martí, A. Differential DNA methylation patterns between high and low responders to a weight loss intervention in overweight or obese adolescents: the EVASYON study. FASEB J. 27, 2504–2512 (2013). www.fasebj.org",,,,FASEB Journal,1.386
13,10.1016/j.gene.2014.07.009,25010727,DOID:9970,obesity,,,peripheral whole blood,"46 (24 obese, 22 lean)",n/a,27K,"The combination of the obesity epidemic and an aging population presents growing challenges for the healthcare system. Obesity and aging are major risk factors for a diverse number of diseases and it is of importance to understand their interaction and the underlying molecular mechanisms. Herein the authors examined the methylation levels of 27578 CpG sites in 46 samples from adult peripheral blood. The effect of obesity and aging was ascertained with general linear models. More than one hundred probes were correlated to aging, nine of which belonged to the KEGG group map04080. Additionally, 10 CpG sites had diverse methylation profiles in obese and lean individuals, one of which was the telomerase catalytic subunit (TERT). In eight of ten cases the methylation change was reverted between obese and lean individuals. One region proved to be differentially methylated with obesity (LINC00304) independent of age. This study provides evidence that obesity influences age driven epigenetic changes, which provides a molecular link between aging and obesity. This link and the identified markers may prove to be valuable biomarkers for the understanding of the molecular basis of aging, obesity and associated diseases.",,"Five regions located in or near AQP9, DUSP22, HIPK3, TNNT1, and TNNI3 genes showed differential methylation levels between high and low responders to the multidisciplinary weight loss intervention. Moreover, a calculated methylation score was significantly associated with changes in weight, BMI-SDS, and body fat mass loss after the treatment.",,Gene,0.73
14,10.1186/s13104-019-4189-0,30909978,DOID:9970,obesity,,,peripheral whole blood,"31 children (5 obese, 26 non-obese)",n/a,450K,"Objective
Exposure to stress during pregnancy may program susceptibility to the development of obesity in offspring. Our goal was to determine whether prenatal maternal stress (PNMS) due to a natural disaster was associated with child obesity, and to compare the DNA methylation profiles in obese versus non-obese children at age 13½ years. Women and their children were involved in the longitudinal natural disaster study—Project Ice Strom, which served as a human model to study PNMS. Blood was collected from 31 children (including five obese children). Infinium HumanMethylation450 BeadChip Array was performed for genome-wide DNA methylation analyses.

Results
Results demonstrated a well-defined obesity-associated genome-wide DNA methylation pattern. There were 277 CpGs, corresponding to 143 genes, were differentially-methylated. IPA analyses revealed 51 canonical pathways, and enrichment of pathways was involved in immune function. Although no significant association was found between PNMS and child obesity, the preliminary data in the study revealed obesity-associated methylation patterns on a genome-wide level in children.",,"The study found that 277 CpGs, corresponding to 143 well-defined obesity-associated genes, were differentially-methylated. IPA analyses revealed 51 canonical pathways, and enrichment of pathways was involved in immune function. Although no significant association was found between PNMS and child obesity, the preliminary data in the study revealed obesity-associated methylation patterns on a genome-wide level in children.",,BMC Research Notes,0.534
15,10.1016/S0140-6736(13)62674-4,24630777,,,bmi,lifestyle,whole blood,459,"351,699 probes",450K,"Background
Obesity is a major health problem that is determined by interactions between lifestyle and environmental and genetic factors. Although associations between several genetic variants and body-mass index (BMI) have been identified, little is known about epigenetic changes related to BMI. We undertook a genome-wide analysis of methylation at CpG sites in relation to BMI.

Methods
479 individuals of European origin recruited by the Cardiogenics Consortium formed our discovery cohort. We typed their whole-blood DNA with the Infinium HumanMethylation450 array. After quality control, methylation levels were tested for association with BMI. Methylation sites showing an association with BMI at a false discovery rate q value of 0·05 or less were taken forward for replication in a cohort of 339 unrelated white patients of northern European origin from the MARTHA cohort. Sites that remained significant in this primary replication cohort were tested in a second replication cohort of 1789 white patients of European origin from the KORA cohort. We examined whether methylation levels at identified sites also showed an association with BMI in DNA from adipose tissue (n=635) and skin (n=395) obtained from white female individuals participating in the MuTHER study. Finally, we examined the association of methylation at BMI-associated sites with genetic variants and with gene expression.

Findings
20 individuals from the discovery cohort were excluded from analyses after quality-control checks, leaving 459 participants. After adjustment for covariates, we identified an association (q value ≤0·05) between methylation at five probes across three different genes and BMI. The associations with three of these probes—cg22891070, cg27146050, and cg16672562, all of which are in intron 1 of HIF3A—were confirmed in both the primary and second replication cohorts. For every 0·1 increase in methylation β value at cg22891070, BMI was 3·6% (95% CI 2·4–4·9) higher in the discovery cohort, 2·7% (1·2–4·2) higher in the primary replication cohort, and 0·8% (0·2–1·4) higher in the second replication cohort. For the MuTHER cohort, methylation at cg22891070 was associated with BMI in adipose tissue (p=1·72 × 10−5) but not in skin (p=0·882). We observed a significant inverse correlation (p=0·005) between methylation at cg22891070 and expression of one HIF3A gene-expression probe in adipose tissue. Two single nucleotide polymorphisms—rs8102595 and rs3826795—had independent associations with methylation at cg22891070 in all cohorts. However, these single nucleotide polymorphisms were not significantly associated with BMI.

Interpretation
Increased BMI in adults of European origin is associated with increased methylation at the HIF3A locus in blood cells and in adipose tissue. Our findings suggest that perturbation of hypoxia inducible transcription factor pathways could have an important role in the response to increased weight in people.

Funding
The European Commission, National Institute for Health Research, British Heart Foundation, and Wellcome Trust.",,"Methylation at cg22891070, cg27146050, and cg16672562 are positively associated with BMI. A significant inverse correlation (p=0·005) between methylation at cg22891070 and expression of one HIF3A gene-expression probe in adipose tissue was also observed. Two single nucleotide polymorphisms—rs8102595 and rs3826795—had independent associations with methylation at cg22891070 in all cohorts. However, these single nucleotide polymorphisms were not significantly associated with BMI. Increased BMI in adults of European origin is associated with increased methylation at the HIF3A locus in blood cells and in adipose tissue. This study's findings suggest that perturbation of hypoxia inducible transcription factor pathways could have an important role in the response to increased weight in people.",,The Lancet,14.607
16,10.1093/hmg/ddv161,25935004,DOID:9970,obesity,,,peripheral whole blood,2097,"473,788 CpG sites",450K,"Obesity is an important component of the pathophysiology of chronic diseases. Identifying epigenetic modifications associated with elevated adiposity, including DNA methylation variation, may point to genomic pathways that are dysregulated in numerous conditions. The Illumina 450K Bead Chip array was used to assay DNA methylation in leukocyte DNA obtained from 2097 African American adults in the Atherosclerosis Risk in Communities (ARIC) study. Mixed-effects regression models were used to test the association of methylation beta value with concurrent body mass index (BMI) and waist circumference (WC), and BMI change, adjusting for batch effects and potential confounders. Replication using whole-blood DNA from 2377 White adults in the Framingham Heart Study and CD4+ T cell DNA from 991 Whites in the Genetics of Lipid Lowering Drugs and Diet Network Study was followed by testing using adipose tissue DNA from 648 women in the Multiple Tissue Human Expression Resource cohort. Seventy-six BMI-related probes, 164 WC-related probes and 8 BMI change-related probes passed the threshold for significance in ARIC (P < 1 × 10−7; Bonferroni), including probes in the recently reported HIF3A, CPT1A and ABCG1 regions. Replication using blood DNA was achieved for 37 BMI probes and 1 additional WC probe. Sixteen of these also replicated in adipose tissue, including 15 novel methylation findings near genes involved in lipid metabolism, immune response/cytokine signaling and other diverse pathways, including LGALS3BP, KDM2B, PBX1 and BBS2, among others. Adiposity traits are associated with DNA methylation at numerous CpG sites that replicate across studies despite variation in tissue type, ethnicity and analytic approaches.",obesity; body mass index procedure; adult; dna; dna methylation; genes; genome; leukocytes; methylation; adipose tissue; genetics; epigenetics; waist circumference; african american; aric trial,"Seventy-six BMI-related probes, 164 WC-related probes and 8 BMI change-related probes passed the threshold for significance in ARIC, including probes in the recently reported HIF3A, CPT1A and ABCG1 regions. Replication using blood DNA was achieved for 37 BMI probes and 1 additional WC probe. Sixteen of these also replicated in adipose tissue, including 15 novel methylation findings near genes involved in lipid metabolism, immune response/cytokine signaling and other diverse pathways, including LGALS3BP, KDM2B, PBX1 and BBS2, among others.",,Human Molecular Genetics,1.831
17,10.1016/j.clnu.2021.05.010,34139469,DOID:9970,obesity,,,fresh-frozen blood,"28
discovery: 10 patients; 3 paired samples/
patient
validation: 18 patients; 3
paired samples/patient",n/a,EPIC,"Background
The molecular mechanisms underlying the potential health benefits of a ketogenic diet are unknown and could be mediated by epigenetic mechanisms.

Objective
To identify the changes in the obesity-related methylome that are mediated by the induced weight loss or are dependent on ketosis in subjects with obesity underwent a very-low calorie ketogenic diet (VLCKD).

Methods
Twenty-one patients with obesity (n = 12 women, 47.9 ± 1.02 yr, 33.0 ± 0.2 kg/m2) after 6 months on a VLCKD and 12 normal weight volunteers (n = 6 women, 50.3 ± 6.2 yrs, 22.7 ± 1.5 kg/m2) were studied. Data from the Infinium MethylationEPIC BeadChip methylomes of blood leukocytes were obtained at time points of ketotic phases (basal, maximum ketosis, and out of ketosis) during VLCKD (n = 10) and at baseline in volunteers (n = 12). Results were further validated by pyrosequencing in representative cohort of patients on a VLCKD (n = 18) and correlated with gene expression.

Results
After weight reduction by VLCKD, differences were found at 988 CpG sites (786 unique genes). The VLCKD altered methylation levels in patients with obesity had high resemblance with those from normal weight volunteers and was concomitant with a downregulation of DNA methyltransferases (DNMT)1, 3a and 3b. Most of the encoded genes were involved in metabolic processes, protein metabolism, and muscle, organ, and skeletal system development. Novel genes representing the top scoring associated events were identified, including ZNF331, FGFRL1 (VLCKD-induced weight loss) and CBFA2T3, C3orf38, JSRP1, and LRFN4 (VLCKD-induced ketosis). Interestingly, ZNF331 and FGFRL1 were validated in an independent cohort and inversely correlated with gene expression.

Conclusions
The beneficial effects of VLCKD therapy on obesity involve a methylome more suggestive of normal weight that could be mainly mediated by the VLCKD-induced ketosis rather than weight loss.",,"After weight reduction by VLCKD, differences were found at 988 CpG sites (786 unique genes). The affected methylation levels in patients with obesity were similar to those from normal weight volunteers and were associated with a downregulation of DNA methyltransferases (DNMT)1, 3a and 3b. Novel genes representing the top scoring associated events were ZNF331, FGFRL1 (VLCKD-induced weight loss) and CBFA2T3, C3orf38, JSRP1, and LRFN4 (VLCKD-induced ketosis), whereas ZNF331 and FGFRL1, validated in an independent cohort, wereinversely correlated with gene expression.",,Clinical Nutrition ESPEN,0.685
18,10.1161/CIRCGEN.119.002766,32525743,,,diet,lifestyle,peripheral whole blood,9724,"403,087 autosomal CpGs",450K,"Background:
DNA methylation patterns associated with habitual diet have not been well studied.

Methods:
Diet quality was characterized using a Mediterranean-style diet score and the Alternative Healthy Eating Index score. We conducted ethnicity-specific and trans-ethnic epigenome-wide association analyses for diet quality and leukocyte-derived DNA methylation at over 400 000 CpGs (cytosine-guanine dinucleotides) in 5 population-based cohorts including 6662 European ancestry, 2702 African ancestry, and 360 Hispanic ancestry participants. For diet-associated CpGs identified in epigenome-wide analyses, we conducted Mendelian randomization (MR) analysis to examine their relations to cardiovascular disease risk factors and examined their longitudinal associations with all-cause mortality.

Results:
We identified 30 CpGs associated with either Mediterranean-style diet score or Alternative Healthy Eating Index, or both, in European ancestry participants. Among these CpGs, 12 CpGs were significantly associated with all-cause mortality (Bonferroni corrected P<1.6×10−3). Hypermethylation of cg18181703 (SOCS3) was associated with higher scores of both Mediterranean-style diet score and Alternative Healthy Eating Index and lower risk for all-cause mortality (P=5.7×10−15). Ten additional diet-associated CpGs were nominally associated with all-cause mortality (P<0.05). MR analysis revealed 8 putatively causal associations for 6 CpGs with 4 cardiovascular disease risk factors (body mass index, triglycerides, high-density lipoprotein cholesterol concentrations, and type 2 diabetes mellitus; Bonferroni corrected MR P<4.5×10−4). For example, hypermethylation of cg11250194 (FADS2) was associated with lower triglyceride concentrations (MR, P=1.5×10−14).and hypermethylation of cg02079413 (SNORA54; NAP1L4) was associated with body mass index (corrected MR, P=1×10−6).

Conclusions:
Habitual diet quality was associated with differential peripheral leukocyte DNA methylation levels of 30 CpGs, most of which were also associated with multiple health outcomes, in European ancestry individuals. These findings demonstrate that integrative genomic analysis of dietary information may reveal molecular targets for disease prevention and treatment.",,"Habitual diet quality was linked to changes in DNA methylation levels at 30 CpGs in individuals of European ancestry. Notably, hypermethylation of the cg18181703 (SOCS3) site corresponded to better dietary scores and reduced risk for all-cause mortality. Integrative genomic analysis suggests that understanding diet-related DNA methylation can pinpoint molecular targets for disease prevention and treatment.",,Circulation: Genomic and Precision Medicine,2.966
19,10.1186/s13073-020-00794-7,33198820,,,weight loss,intervention,blood,120,n/a,EPIC,"Background
One of the major challenges in obesity treatment is to explain the high variability in the individual’s response to specific dietary and physical activity interventions. With this study, we tested the hypothesis that specific DNA methylation changes reflect individual responsiveness to lifestyle intervention and may serve as epigenetic predictors for a successful weight-loss.

Methods
We conducted an explorative genome-wide DNA methylation analysis in blood samples from 120 subjects (90% men, mean ± SD age = 49 ± 9 years, body mass-index (BMI) = 30.2 ± 3.3 kg/m2) from the 18-month CENTRAL randomized controlled trial who underwent either Mediterranean/low-carbohydrate or low-fat diet with or without physical activity.

Results
Analyses comparing male subjects with the most prominent body weight-loss (responders, mean weight change − 16%) vs. non-responders (+ 2.4%) (N = 10 each) revealed significant variation in DNA methylation of several genes including LRRC27, CRISP2, and SLFN12 (all adj. P < 1 × 10−5). Gene ontology analysis indicated that biological processes such as cell adhesion and molecular functions such as calcium ion binding could have an important role in determining the success of interventional therapies in obesity. Epigenome-wide association for relative weight-loss (%) identified 15 CpGs being negatively correlated with weight change after intervention (all combined P < 1 × 10− 4) including new and also known obesity candidates such as NUDT3 and NCOR2. A baseline DNA methylation score better predicted successful weight-loss [area under the curve (AUC) receiver operating characteristic (ROC) = 0.95–1.0] than predictors such as age and BMI (AUC ROC = 0.56).

Conclusions
Body weight-loss following 18-month lifestyle intervention is associated with specific methylation signatures. Moreover, methylation differences in the identified genes could serve as prognostic biomarkers to predict a successful weight-loss therapy and thus contribute to advances in patient-tailored obesity treatment.",,"In a study of 120 subjects undergoing different lifestyle interventions, body weight-loss response was associated with specific DNA methylation signatures. Analyses revealed significant variation in DNA methylation in genes like LRRC27, CRISP2, and SLFN12 among prominent weight-loss responders compared to non-responders. Importantly, a baseline DNA methylation score predicted successful weight-loss more accurately than traditional predictors like age and BMI.",,Genome Medicine,4.851
20,10.1080/15592294.2019.1629230,31179817,DOID:219,colon cancer,,,peripheral whole blood,"161 pairs
(94 samples for validation, 190 samples for replication)",n/a,450K,"The biological mechanisms through which adherence to Mediterranean Diet (MD) protects against colon cancer (CC) are poorly understood. Evidence suggests that chronic inflammation may be implicated in the pathway. Both diet and CC are related to epigenetic regulation.

We performed a nested case-control study on 161 pairs from the Italian component of the European Prospective Investigation into Cancer and Nutrition (EPIC) cohort, in which we looked for the methylation signals in DNA extracted from leucocytes associated with both CC and MD in 995 CpGs located in 48 inflammation genes. The DNA methylation signals detected in this analysis were validated in a subgroup of 47 case-control pairs and further replicated (where validated) in 95 new pairs by means of pyrosequencing.

Among the CpG sites selected a-priori in inflammation-related genes, seven CpG sites were found to be associated with CC status and with MD, in line with its protective effect. Only two CpG sites (cg17968347-SERPINE1 and cg20674490-RUNX3) were validated using bisulphite pyrosequencing and, after replication, we found that DNA methylation of cg20674490-RUNX3 may be a potential molecular mediator explaining the protective effect of MD on CC onset.

The use of a ‘meet-in-the-middle’ approach to identify the overlap between exposure and predictive markers of disease is innovative in studies on the relationship between diet and cancer, in which exposure assessment is difficult and the mechanisms through which the nutrients exert their protective effect is largely unknown.",Colon cancer; Mediterranean dietinflammation; DNA methylation; meet-in-the-middle,"Researchers investigated how adherence to the Mediterranean Diet (MD) could protect against colon cancer (CC) by examining DNA methylation in inflammation-related genes from 161 pairs in the EPIC cohort. Out of selected CpG sites, seven were associated with both CC and MD, but only two sites were validated, with the cg20674490-RUNX3 site potentially explaining MD's protective effect against CC. This innovative approach identifies the overlap between diet and disease markers, providing insights into the unknown mechanisms behind diet's protective effects against cancer.",,Epigenetics,1.408
21,10.1038/s41467-019-10487-4,31197173,DOID:9352,type 2 diabetes mellitus,,,venous whole blood,"discovery: 4808
replication: 11750","393,183 CpG sites",450K,"Despite existing reports on differential DNA methylation in type 2 diabetes (T2D) and obesity, our understanding of its functional relevance remains limited. Here we show the effect of differential methylation in the early phases of T2D pathology by a blood-based epigenome-wide association study of 4808 non-diabetic Europeans in the discovery phase and 11,750 individuals in the replication. We identify CpGs in LETM1, RBM20, IRS2, MAN2A2 and the 1q25.3 region associated with fasting insulin, and in FCRL6, SLAMF1, APOBEC3H and the 15q26.1 region with fasting glucose. In silico cross-omics analyses highlight the role of differential methylation in the crosstalk between the adaptive immune system and glucose homeostasis. The differential methylation explains at least 16.9% of the association between obesity and insulin. Our study sheds light on the biological interactions between genetic variants driving differential methylation and gene expression in the early pathogenesis of T2D.",,"In a blood-based epigenome-wide association study, researchers identified differential DNA methylation linked to early stages of type 2 diabetes (T2D) pathology. Specific CpGs in LETM1, RBM20, IRS2, MAN2A2, 1q25.3 region were found to be associated with fasting insulin, while CpGs in FCRL6, SLAMF1, APOBEC3H, and the 15q26.1 region correlated with fasting glucose. This differential methylation, which plays a role in the interaction between the adaptive immune system and glucose homeostasis, accounts for at least 16.9% of the link between obesity and insulin, illuminating the biological interplay between genetic variants, differential methylation, and gene expression in early T2D onset.",,Nature Communications,5.116
22,10.1007/s00125-017-4497-7,29164275,DOID:9352,type 2 diabetes mellitus,,,fasting whole blood,"100 T2D cases
98 controls",n/a,450K,"Aims/hypothesis
Epigenetic mechanisms may play an important role in the aetiology of type 2 diabetes. Recent epigenome-wide association studies (EWASs) identified several DNA methylation markers associated with type 2 diabetes, fasting glucose and HbA1c levels. Here we present a systematic review of these studies and attempt to replicate the CpG sites (CpGs) with the most significant associations from these EWASs in a case–control sample of the Lifelines study.

Methods
We performed a systematic literature search in PubMed and EMBASE for EWASs to test the association between DNA methylation and type 2 diabetes and/or glycaemic traits and reviewed the search results. For replication purposes we selected 100 unique CpGs identified in peripheral blood, pancreas, adipose tissue and liver from 15 EWASs, using study-specific Bonferroni-corrected significance thresholds. Methylation data (Illumina 450K array) in whole blood from 100 type 2 diabetic individuals and 100 control individuals from the Lifelines study were available. Multivariate linear models were used to examine the associations of the specific CpGs with type 2 diabetes and glycaemic traits.

Results
From the 52 CpGs identified in blood and selected for replication, 15 CpGs showed nominally significant associations with type 2 diabetes in the Lifelines sample (p < 0.05). The results for five CpGs (in ABCG1, LOXL2, TXNIP, SLC1A5 and SREBF1) remained significant after a stringent multiple-testing correction (changes in methylation from −3% up to 3.6%, p < 0.0009). All associations were directionally consistent with the original EWAS results. None of the selected CpGs from the tissue-specific EWASs were replicated in our methylation data from whole blood. We were also unable to replicate any of the CpGs associated with HbA1c levels in the healthy control individuals of our sample, while two CpGs (in ABCG1 and CCDC57) for fasting glucose were replicated at a nominal significance level (p < 0.05).

Conclusions/interpretation
A number of differentially methylated CpGs reported to be associated with type 2 diabetes in the EWAS literature were replicated in blood and show promise for clinical use as disease biomarkers. However, more prospective studies are needed to support the robustness of these findings.",,"Several DNA methylation markers have been associated with type 2 diabetes in epigenome-wide association studies (EWASs). From the replication of 52 CpGs in the Lifelines study, 15 showed significant associations with type 2 diabetes, with five CpGs (in ABCG1, LOXL2, TXNIP, SLC1A5, and SREBF1) maintaining significance after strict multiple-testing corrections. These CpGs, found in blood, could serve as potential biomarkers for type 2 diabetes, but further prospective studies are required for validation.",,Diabetologia ,3.349
23,10.1371/journal.pone.0152314,27019061,DOID:9352,type 2 diabetes mellitus,,,whole blood,1448,n/a,450K,"Epigenetic regulation has been postulated to affect glucose metabolism, insulin sensitivity and the risk of type 2 diabetes. Therefore, we performed an epigenome-wide association study for measures of glucose metabolism in whole blood samples of the population-based Cooperative Health Research in the Region of Augsburg F4 study using the Illumina HumanMethylation 450 BeadChip. We identified a total of 31 CpG sites where methylation level was associated with measures of glucose metabolism after adjustment for age, sex, smoking, and estimated white blood cell proportions and correction for multiple testing using the Benjamini-Hochberg (B-H) method (four for fasting glucose, seven for fasting insulin, 25 for homeostasis model assessment-insulin resistance [HOMA-IR]; B-H-adjusted p-values between 9.2x10-5 and 0.047). In addition, DNA methylation at cg06500161 (annotated to ABCG1) was associated with all the aforementioned phenotypes and 2-hour glucose (B-H-adjusted p-values between 9.2x10-5 and 3.0x10-3). Methylation status of additional three CpG sites showed an association with fasting insulin only after additional adjustment for body mass index (BMI) (B-H-adjusted p-values = 0.047). Overall, effect strengths were reduced by around 30% after additional adjustment for BMI, suggesting that this variable has an influence on the investigated phenotypes. Furthermore, we found significant associations between methylation status of 21 of the aforementioned CpG sites and 2-hour insulin in a subset of samples with seven significant associations persisting after additional adjustment for BMI. In a subset of 533 participants, methylation of the CpG site cg06500161 (ABCG1) was inversely associated with ABCG1 gene expression (B-H-adjusted p-value = 1.5x10-9). Additionally, we observed an enrichment of the top 1,000 CpG sites for diabetes-related canonical pathways using Ingenuity Pathway Analysis. In conclusion, our study indicates that DNA methylation and diabetes-related traits are associated and that these associations are partially BMI-dependent. Furthermore, the interaction of ABCG1 with glucose metabolism is modulated by epigenetic processes.",,"In a population-based study investigating the relationship between epigenetic regulation and glucose metabolism, 31 CpG sites were found where methylation levels correlated with glucose metabolism measures. Notably, DNA methylation at cg06500161, annotated to ABCG1, was associated with several glucose metabolism phenotypes, and its methylation was inversely linked with ABCG1 gene expression. The findings suggest DNA methylation's association with diabetes-related traits, influenced in part by BMI, and highlight the epigenetic modulation of ABCG1's interaction with glucose metabolism.",,PLOS ONE,0.885
24,10.1016/j.ygeno.2021.11.005,34774679,DOID:9352,type 2 diabetes mellitus,,,peripheral whole blood,"316 adult twin pairs (discovery: 158, replication: 158)","412,458 CpG sites",450K,"DNA methylation plays an important role in the development and etiology of type 2 diabetes; however, few epigenomic studies have been conducted on twins. Herein, a two-stage study was performed to explore the associations between DNA methylation and type 2 diabetes, fasting plasma glucose, and HbA1c. DNA methylation in 316 twin pairs from the Chinese National Twin Registry (CNTR) was measured using Illumina Infinium BeadChips. In the discovery sample, the results revealed that 63 CpG sites and 6 CpG sites were significantly associated with fasting plasma glucose and HbA1c, respectively. In the replication sample, cg19690313 in TXNIP was associated with both fasting plasma glucose (P = 1.23 × 10−17, FDR < 0.001) and HbA1c (P = 2.29 × 10–18, FDR < 0.001). Furthermore, cg04816311, cg08309687, and cg09249494 may provide new insight in the metabolic mechanism of HbA1c. Our study provides solid evidence that cg19690313 on TXNIP correlates with HbA1c and fasting plasma glucose levels.",DNA methylationEpigenome-wideFasting plasma glucoseHbA1cPeripheral bloodTwinType 2 diabetes,"In a study analyzing DNA methylation's role in type 2 diabetes using 316 twin pairs from the Chinese National Twin Registry, 63 CpG sites were found to be significantly associated with fasting plasma glucose, and 6 with HbA1c. Notably, cg19690313 on TXNIP was associated with both fasting plasma glucose and HbA1c, while cg04816311, cg08309687, and cg09249494 may offer insights into the metabolic mechanism of HbA1c. The results underscore the strong correlation of cg19690313 on TXNIP with HbA1c and fasting plasma glucose levels.",,Genomics,0.866
